id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
JRKL	8	0.097489	0.26848	0.999998	526	3	0.10671	0.09332	0.26061	0.945562	534	4	0.10671
HELZ2	8	0.63443	0.82105	0.999998	1637	2	0.14381	0.093748	0.26151	0.945842	535	5	0.14381
IL1B	8	0.34848	0.61039	0.999998	1185	3	-0.0032163	0.094293	0.26265	0.948347	536	3	-0.0032163
MCOLN2	8	0.48696	0.71428	0.999998	1420	3	-0.047789	0.095237	0.26458	0.950923	537	3	-0.047789
FUT4	8	0.29912	0.55324	0.999998	1070	3	-0.0575	0.095557	0.26522	0.950923	538	3	-0.0575
SRC	8	0.12954	0.33195	0.999998	655	5	-0.10608	0.095878	0.26587	0.950923	539	3	-0.10608
ACOT13	8	0.074094	0.21887	0.999998	433	2	0.12062	0.096065	0.26626	0.950923	540	4	0.12062
HLA-E	8	0.94609	0.95662	0.999998	2004	1	0.14006	0.096196	0.26652	0.950923	541	4	0.14006
GPATCH11	8	0.66829	0.83513	0.999998	1676	2	0.097356	0.0962	0.26653	0.950923	542	4	0.097356
NonTargetingControlGuideForHuman_0093	1	0.90316	0.90392	0.999998	1958	0	0.25141	0.096838	0.097422	0.938657	543	1	0.25141
BLMH	8	0.99544	0.99545	0.999998	2090	0	0.14011	0.097041	0.26817	0.952214	544	5	0.14011
IL23A	8	0.20963	0.44327	0.999998	862	2	0.14573	0.097166	0.26843	0.952214	545	5	0.14573
CD40	8	0.073122	0.21681	0.999998	430	2	0.089233	0.097489	0.26918	0.952214	546	4	0.089233
TNIP3	8	0.039873	0.14178	0.985286	291	5	-0.19703	0.097622	0.26941	0.952214	547	3	-0.19703
GBP4	8	0.17432	0.39834	0.999998	774	4	-0.056262	0.097741	0.26961	0.952214	548	3	-0.056262
NonTargetingControlGuideForHuman_0065	1	0.90225	0.90302	0.999998	1957	0	0.26189	0.097747	0.098344	0.938657	549	1	0.26189
WDR64	6	0.0485	0.145	0.985286	330	4	-0.21365	0.098092	0.24512	0.938657	550	2	-0.21365
RBM43	8	0.020488	0.081317	0.985286	159	5	-0.23179	0.098096	0.27037	0.952946	551	1	-0.23179
SCAND3	8	0.30526	0.56002	0.999998	1087	2	0.14794	0.09846	0.2711	0.952946	552	5	0.14794
RND3	8	0.015508	0.064295	0.977143	132	5	-0.27112	0.098622	0.27141	0.952946	553	2	-0.27112
CBWD6	8	0.68398	0.84177	0.999998	1697	2	0.17348	0.099101	0.2724	0.952946	554	4	0.17348
SCIN	8	0.061911	0.19177	0.999998	392	2	-0.015965	0.099325	0.27298	0.952946	555	3	-0.015965
ATP10B	8	0.91709	0.94518	0.999998	1973	1	0.15967	0.099431	0.2732	0.952946	556	4	0.15967
KCNJ11	8	0.70298	0.84942	0.999998	1723	2	0.10272	0.099519	0.27341	0.952946	557	4	0.10272
ACHE	8	0.49193	0.7179	0.999998	1428	2	-0.01463	0.099537	0.27343	0.952946	558	3	-0.01463
NBN	8	0.12433	0.32207	0.999998	629	3	0.089642	0.10047	0.27541	0.955095	559	4	0.089642
PSMB9	8	0.00025968	0.0016627	0.291667	12	4	-0.082593	0.10141	0.27737	0.955095	560	3	-0.082593
IL10	8	0.12328	0.31996	0.999998	624	4	-0.061591	0.10156	0.2777	0.955095	561	4	-0.061591
LOC388813	8	0.050356	0.16594	0.992049	341	5	-0.25658	0.10178	0.27811	0.955095	562	3	-0.25658
ABCA7	8	0.24323	0.4854	0.999998	944	2	0.12908	0.10208	0.27874	0.955095	563	5	0.12908
IL9R	8	0.11445	0.30296	0.999998	594	4	-0.02021	0.10283	0.28019	0.955095	564	1	-0.02021
SLC35E4	8	0.051024	0.16742	0.992049	342	4	-0.095406	0.1032	0.28099	0.955095	565	2	-0.095406
PRDM1	8	0.43204	0.67392	0.999998	1330	2	0.053779	0.1033	0.28123	0.955095	566	4	0.053779
TARS	8	0.40852	0.65684	0.999998	1281	3	0.0059335	0.10339	0.28146	0.955095	567	3	0.0059335
HSD11B1	8	0.02796	0.10589	0.985286	212	3	0.1828	0.10382	0.28234	0.955095	568	5	0.1828
TAPBP	8	0.30072	0.55503	0.999998	1075	3	0.08511	0.10393	0.28258	0.955095	569	4	0.08511
DPCD	8	0.082951	0.23815	0.999998	474	5	-0.14525	0.10404	0.28274	0.955095	570	3	-0.14525
42795	8	0.11097	0.29586	0.999998	582	4	0.027477	0.10408	0.28286	0.955095	571	4	0.027477
DDX3Y	8	0.19083	0.41971	0.999998	813	3	0.063005	0.10426	0.28318	0.955095	572	4	0.063005
ATP10D	8	0.67476	0.83788	0.999998	1686	2	0.11368	0.10436	0.28337	0.955095	573	4	0.11368
ADAM28	8	0.081379	0.23461	0.999998	466	4	-0.14439	0.10472	0.28411	0.955095	574	1	-0.14439
ZC3H12C	8	0.47695	0.70694	0.999998	1404	2	0.11643	0.10488	0.28444	0.955095	575	5	0.11643
GPR171	8	0.63727	0.82281	0.999998	1638	2	0.10186	0.10503	0.28468	0.955095	576	5	0.10186
CLIC4	8	0.51542	0.7346	0.999998	1459	3	0.13228	0.10545	0.2855	0.955095	577	4	0.13228
ALCAM	8	0.28169	0.53254	0.999998	1026	4	-0.088811	0.10551	0.28561	0.955095	578	3	-0.088811
EREG	8	0.15812	0.37653	0.999998	736	4	-0.12713	0.10566	0.28584	0.955095	579	2	-0.12713
CALCRL	8	0.72817	0.86049	0.999998	1747	2	0.15872	0.10615	0.28681	0.955095	580	5	0.15872
TRIM36	8	0.80312	0.89599	0.999998	1841	1	0.092467	0.10622	0.28693	0.955095	581	4	0.092467
NonTargetingControlGuideForHuman_0134	1	0.89362	0.89436	0.999998	1951	0	0.25225	0.10638	0.10718	0.938657	582	1	0.25225
ASB2	8	0.80581	0.89735	0.999998	1847	2	0.18873	0.10653	0.28752	0.955095	583	5	0.18873
CHORDC1	8	0.032077	0.11901	0.985286	240	4	-0.32785	0.1066	0.28764	0.955095	584	2	-0.32785
CASP5	8	0.14357	0.35705	0.999998	697	1	0.0028482	0.10667	0.28774	0.955095	585	2	0.0028482
NPIP8	8	0.058825	0.18486	0.998784	378	5	-0.16877	0.10687	0.28818	0.955095	586	3	-0.16877
IL6	8	0.021024	0.083072	0.985286	163	4	0.026645	0.10692	0.28832	0.955095	587	4	0.026645
SNX18	8	0.041556	0.14578	0.985286	298	1	0.089373	0.10698	0.28842	0.955095	588	4	0.089373
BCAR3	8	0.10451	0.2831	0.999998	556	5	-0.13355	0.10707	0.28857	0.955095	589	2	-0.13355
ENDOD1	8	0.023483	0.091247	0.985286	179	2	0.092693	0.10745	0.28934	0.955407	590	4	0.092693
GBP2	8	0.015733	0.065128	0.977143	135	2	0.1357	0.10781	0.29003	0.955407	591	5	0.1357
CCL20	8	0.69565	0.84645	0.999998	1712	2	0.041882	0.108	0.29048	0.955407	592	3	0.041882
TAP1	8	0.73349	0.86286	0.999998	1751	2	0.13958	0.10864	0.29169	0.957886	593	5	0.13958
ZNF148	8	0.35915	0.62078	0.999998	1214	3	0.075268	0.10942	0.29333	0.96019	594	4	0.075268
PI3	8	0.26984	0.51824	0.999998	1001	4	0.049034	0.10963	0.29379	0.96019	595	4	0.049034
SCIMP	8	0.38974	0.64331	0.999998	1251	2	0.019368	0.10984	0.29426	0.96019	596	3	0.019368
HLA-B	8	0.96963	0.9706	0.999998	2037	1	0.13689	0.11034	0.29516	0.96019	597	4	0.13689
TNFRSF4	8	0.18354	0.41022	0.999998	794	2	0.10743	0.1104	0.2953	0.96019	598	5	0.10743
SLC2A14	8	0.05722	0.18142	0.992426	374	3	0.10579	0.11052	0.29558	0.96019	599	4	0.10579
RGL4	8	0.40939	0.65742	0.999998	1283	2	0.018973	0.1113	0.29711	0.961301	600	4	0.018973
SLC24A3	8	0.14242	0.3556	0.999998	694	3	0.15086	0.1114	0.2973	0.961301	601	5	0.15086
RNF222	8	0.53122	0.74561	0.999998	1482	3	0.070031	0.11198	0.29853	0.963699	602	3	0.070031
FSCN1	8	0.50175	0.72483	0.999998	1444	2	-0.044408	0.11237	0.2992	0.963699	603	3	-0.044408
EDEM1	8	0.70662	0.85093	0.999998	1726	2	0.13953	0.11264	0.29975	0.963699	604	5	0.13953
SLAMF8	8	0.86599	0.93099	0.999998	1926	2	0.13181	0.11274	0.29994	0.963699	605	4	0.13181
NonTargetingControlGuideForHuman_0091	1	0.88719	0.88789	0.999998	1946	0	0.24826	0.11281	0.11352	0.938657	606	1	0.24826
NonTargetingControlGuideForHuman_0020	1	0.88687	0.88756	0.999998	1945	0	0.42801	0.11313	0.11382	0.938657	607	1	0.42801
TGM5	8	0.41015	0.658	0.999998	1284	2	0.13178	0.11321	0.3009	0.963699	608	4	0.13178
ME1	8	0.15459	0.3719	0.999998	723	3	-0.0095967	0.11411	0.30267	0.963699	609	3	-0.0095967
IL18BP	8	0.16598	0.38711	0.999998	756	2	0.11017	0.11444	0.30339	0.963699	610	5	0.11017
GIMAP8	8	0.92038	0.94621	0.999998	1976	1	0.13062	0.11467	0.3038	0.963699	611	5	0.13062
HIST1H3E	8	0.2128	0.44724	0.999998	867	3	0.10521	0.11499	0.30438	0.963699	612	4	0.10521
SLC6A9	8	0.77522	0.88213	0.999998	1801	1	0.12786	0.11523	0.30477	0.963699	613	5	0.12786
TJP1	8	0.52226	0.73943	0.999998	1469	3	-0.024829	0.11551	0.30532	0.963699	614	3	-0.024829
NAPA	8	0.96379	0.96646	0.999998	2025	1	0.069006	0.11597	0.30619	0.963699	615	4	0.069006
NonTargetingControlGuideForHuman_0002	1	0.88342	0.8839	0.999998	1942	0	0.29957	0.11658	0.11722	0.938657	616	1	0.29957
GALM	8	0.13047	0.33385	0.999998	657	5	-0.16145	0.1169	0.30791	0.963699	617	2	-0.16145
PRICKLE1	8	0.068864	0.20688	0.999998	411	3	0.18267	0.11735	0.30876	0.963699	618	5	0.18267
GPR157	8	0.19911	0.43063	0.999998	836	3	0.031167	0.11737	0.30881	0.963699	619	4	0.031167
GSG2	8	0.64904	0.8274	0.999998	1652	2	0.085035	0.11772	0.30949	0.963699	620	4	0.085035
KCTD11	8	0.085832	0.24431	0.999998	488	4	-0.016998	0.11781	0.30966	0.963699	621	4	-0.016998
CAMSAP2	8	0.13472	0.34191	0.999998	671	4	-0.096775	0.11784	0.30969	0.963699	622	1	-0.096775
DACT3	8	0.80897	0.89912	0.999998	1852	2	0.12426	0.11809	0.31023	0.963699	623	5	0.12426
SMAD3	8	0.14899	0.36445	0.999998	709	2	0.052915	0.11833	0.31072	0.963699	624	3	0.052915
SLC1A3	8	0.53492	0.74832	0.999998	1490	2	0.071815	0.11877	0.31158	0.963699	625	4	0.071815
ZNF684	8	0.28482	0.53628	0.999998	1034	3	-0.030372	0.11885	0.31173	0.963699	626	3	-0.030372
TMEM173	8	0.10519	0.28437	0.999998	557	2	-0.051977	0.1197	0.31335	0.963699	627	3	-0.051977
KLHL31	8	0.22977	0.4687	0.999998	905	4	0.029359	0.12016	0.31436	0.963699	628	4	0.029359
PAQR8	8	0.25357	0.49839	0.999998	959	3	0.07035	0.1202	0.31445	0.963699	629	4	0.07035
TCF4	8	0.69867	0.84763	0.999998	1717	2	0.1518	0.12042	0.31489	0.963699	630	5	0.1518
CEBPD	8	0.47797	0.70772	0.999998	1407	3	0.0075395	0.12057	0.31514	0.963699	631	4	0.0075395
PCDH17	8	0.25261	0.49724	0.999998	956	2	0.13752	0.12057	0.31514	0.963699	632	4	0.13752
B3GALT4	8	0.46836	0.7006	0.999998	1390	2	0.14781	0.12157	0.31699	0.963699	633	4	0.14781
ALX1	8	0.78488	0.88687	0.999998	1816	2	0.15868	0.12248	0.31872	0.963699	634	4	0.15868
DPYSL3	8	0.059426	0.1863	0.998784	380	2	0.10837	0.12299	0.31977	0.963699	635	4	0.10837
DPYS	8	0.059492	0.18641	0.998784	381	4	0.030831	0.12422	0.32221	0.963699	636	4	0.030831
CCL13	8	0.041056	0.14448	0.985286	296	1	0.11643	0.12433	0.32239	0.963699	637	4	0.11643
ERLEC1	8	0.98262	0.98253	0.999998	2058	0	0.065894	0.12438	0.32252	0.963699	638	3	0.065894
CCDC109B	8	0.0033712	0.018017	0.897174	38	1	0.11067	0.12476	0.32322	0.963699	639	5	0.11067
AMPH	8	0.31577	0.57235	0.999998	1116	3	0.13868	0.12497	0.32359	0.963699	640	5	0.13868
CLEC4E	8	0.18167	0.40776	0.999998	789	4	-0.048101	0.1252	0.32399	0.963699	641	4	-0.048101
TRIM21	8	0.74327	0.86735	0.999998	1764	2	0.11269	0.12545	0.32443	0.963699	642	4	0.11269
B3GAT2	8	0.3837	0.63903	0.999998	1242	3	0.028741	0.12572	0.32499	0.963699	643	4	0.028741
GCNT2	8	0.44582	0.68414	0.999998	1354	2	0.096735	0.12578	0.32507	0.963699	644	4	0.096735
FCGR1A	7	0.3635	0.59193	0.999998	1219	2	-0.021903	0.12584	0.30634	0.963699	645	2	-0.021903
CXorf21	8	0.15753	0.37584	0.999998	733	3	0.099187	0.12584	0.32524	0.963699	646	5	0.099187
TNFAIP6	8	0.41471	0.6611	0.999998	1294	2	0.10585	0.12618	0.32588	0.963699	647	3	0.10585
LILRB4	8	0.1639	0.38431	0.999998	752	2	0.16309	0.12634	0.32618	0.963699	648	5	0.16309
PIWIL4	8	0.96103	0.96466	0.999998	2020	1	0.13946	0.12668	0.32689	0.963699	649	5	0.13946
TMEM51	8	0.83278	0.91198	0.999998	1880	2	0.11068	0.12693	0.32736	0.963699	650	5	0.11068
ZNF419	8	0.72554	0.85917	0.999998	1742	2	0.16289	0.12706	0.32769	0.963699	651	4	0.16289
EMP1	8	0.047614	0.15959	0.991029	327	3	0.089902	0.1271	0.32774	0.963699	652	4	0.089902
ANKFY1	8	0.3919	0.64481	0.999998	1257	2	0.07917	0.12745	0.32836	0.963699	653	4	0.07917
MAX	8	0.23718	0.47793	0.999998	921	2	0.052271	0.12745	0.32837	0.963699	654	3	0.052271
DTX3L	8	0.53186	0.74607	0.999998	1486	3	0.12317	0.12768	0.32877	0.963699	655	5	0.12317
C9orf64	8	0.6032	0.79836	0.999998	1589	3	0.043512	0.12811	0.32957	0.963699	656	4	0.043512
UBE2L6	8	0.37833	0.63486	0.999998	1236	2	0.09828	0.12859	0.33042	0.963699	657	4	0.09828
SP140	8	0.25296	0.49764	0.999998	958	3	0.030773	0.12876	0.33078	0.963699	658	3	0.030773
NonTargetingControlGuideForHuman_0035	1	0.87096	0.87136	0.999998	1933	0	0.20526	0.12904	0.12968	0.938657	659	1	0.20526
PNP	8	0.74185	0.86666	0.999998	1762	2	0.10255	0.1292	0.33164	0.963699	660	5	0.10255
CD69	8	0.89303	0.93819	0.999998	1948	1	0.13083	0.12924	0.33169	0.963699	661	4	0.13083
S100A2	8	0.069715	0.20889	0.999998	413	1	0.11556	0.12929	0.33178	0.963699	662	5	0.11556
GTPBP1	8	0.60802	0.80187	0.999998	1596	2	0.12834	0.12937	0.3319	0.963699	663	5	0.12834
LRRCC1	8	0.30147	0.55577	0.999998	1078	2	0.10878	0.12962	0.33233	0.963699	664	5	0.10878
PGBD1	8	0.41601	0.66199	0.999998	1297	2	0.11012	0.12996	0.33314	0.963699	665	5	0.11012
ADAP2	8	0.43677	0.67755	0.999998	1336	1	0.19801	0.1309	0.33487	0.963699	666	5	0.19801
CCR7	8	0.96566	0.96775	0.999998	2030	1	0.039021	0.13124	0.33547	0.963699	667	3	0.039021
HLA-DQA1	8	0.10008	0.27395	0.999998	533	3	-0.016879	0.13128	0.33552	0.963699	668	3	-0.016879
COBL	8	0.30394	0.55856	0.999998	1081	3	-0.074417	0.1317	0.33625	0.963699	669	3	-0.074417
CXCL13	8	0.21537	0.4506	0.999998	872	3	0.063294	0.13176	0.33635	0.963699	670	4	0.063294
NonTargetingControlGuideForHuman_0158	1	0.86823	0.86868	0.999998	1930	0	0.19585	0.13177	0.13239	0.938657	671	1	0.19585
ADORA3	8	0.23356	0.47329	0.999998	912	3	0.09868	0.132	0.3368	0.963699	672	4	0.09868
TAS2R4	8	0.076035	0.22318	0.999998	440	3	0.13863	0.13216	0.33712	0.963699	673	4	0.13863
ZBTB43	8	0.43483	0.67607	0.999998	1334	3	0.10754	0.13218	0.33716	0.963699	674	5	0.10754
ODF3B	8	0.85902	0.92679	0.999998	1915	1	0.10122	0.13237	0.33744	0.963699	675	4	0.10122
DSP	8	0.11961	0.3128	0.999998	612	5	-0.14037	0.13262	0.33797	0.963699	676	2	-0.14037
WIPF1	8	0.079602	0.23064	0.999998	452	5	-0.14765	0.13283	0.33838	0.963699	677	3	-0.14765
NonTargetingControlGuideForHuman_0054	1	0.86674	0.86728	0.999998	1928	0	0.1932	0.13326	0.13391	0.938657	678	1	0.1932
CD274	8	0.31053	0.56601	0.999998	1103	2	0.031514	0.13345	0.33953	0.963699	679	3	0.031514
TLR2	8	0.3301	0.58909	0.999998	1151	2	0.051881	0.13354	0.33972	0.963699	680	3	0.051881
AURKB	8	0.23636	0.47685	0.999998	920	3	0.13152	0.134	0.34067	0.963699	681	4	0.13152
HLA-F	8	0.60961	0.80298	0.999998	1597	1	0.12768	0.13425	0.34121	0.963699	682	5	0.12768
PLEKHN1	8	0.54141	0.75292	0.999998	1497	3	0.073601	0.13454	0.34173	0.963699	683	4	0.073601
ICAM2	8	0.5898	0.78834	0.999998	1569	2	-0.018823	0.13491	0.34239	0.963699	684	3	-0.018823
ZNF181	8	0.38383	0.63913	0.999998	1243	2	0.10673	0.13491	0.34239	0.963699	685	4	0.10673
APOBEC3F	8	0.12387	0.3211	0.999998	627	2	0.12198	0.13494	0.34244	0.963699	686	5	0.12198
C22orf28	8	0.93322	0.95097	0.999998	1991	1	0.034104	0.13537	0.34317	0.964461	687	4	0.034104
CCDC92	8	0.22694	0.46493	0.999998	899	4	-0.021907	0.13657	0.34536	0.966045	688	3	-0.021907
C2orf42	8	0.48213	0.71063	0.999998	1413	2	0.11188	0.13669	0.34558	0.966045	689	5	0.11188
KRTAP16-1	8	0.014113	0.059653	0.974597	116	4	-0.13383	0.13765	0.34727	0.966045	690	3	-0.13383
GEMIN5	8	0.082798	0.23784	0.999998	472	2	0.11043	0.13779	0.34754	0.966045	691	4	0.11043
ZFP36	8	0.4915	0.71764	0.999998	1427	2	0.11273	0.13784	0.34768	0.966045	692	4	0.11273
KCTD14	8	0.97587	0.97593	0.999998	2048	1	0.05359	0.13809	0.34809	0.966045	693	4	0.05359
LHX2	8	0.12377	0.32094	0.999998	626	5	-0.13251	0.13811	0.34812	0.966045	694	1	-0.13251
COL4A2	8	0.76981	0.87937	0.999998	1796	1	0.1149	0.13871	0.34929	0.966045	695	5	0.1149
BET1	8	0.6815	0.84074	0.999998	1695	2	0.10501	0.13902	0.34993	0.966045	696	3	0.10501
HIC1	8	0.11865	0.31094	0.999998	610	5	-0.13185	0.13908	0.35006	0.966045	697	2	-0.13185
CDCA4	8	0.15101	0.36718	0.999998	715	3	0.046408	0.13938	0.35062	0.966045	698	4	0.046408
NonTargetingControlGuideForHuman_0114	1	0.86057	0.86106	0.999998	1922	0	0.31653	0.13943	0.1401	0.938657	699	1	0.31653
CX3CR1	8	0.95258	0.95971	0.999998	2009	1	0.1079	0.13945	0.35074	0.966045	700	4	0.1079
GMPR	8	0.18564	0.41303	0.999998	801	3	0.034836	0.13948	0.35082	0.966045	701	4	0.034836
NonTargetingControlGuideForHuman_0072	1	0.86005	0.86058	0.999998	1921	0	0.2596	0.13995	0.14053	0.938657	702	1	0.2596
FRMD3	8	0.30941	0.56469	0.999998	1100	2	0.11331	0.14019	0.35206	0.966045	703	4	0.11331
KBTBD7	8	0.45199	0.68865	0.999998	1364	2	0.11447	0.1403	0.3523	0.966045	704	5	0.11447
TREX1	8	0.12841	0.32987	0.999998	650	3	-0.026885	0.14039	0.35246	0.966045	705	3	-0.026885
EDNRB	8	0.41113	0.65875	0.999998	1285	1	0.08193	0.14057	0.35282	0.966045	706	5	0.08193
PCBP3	8	0.99304	0.99308	0.999998	2081	0	0.11525	0.14059	0.35286	0.966045	707	4	0.11525
HESX1	8	0.63169	0.81898	0.999998	1631	3	0.047939	0.14081	0.35328	0.966045	708	3	0.047939
RMI2	8	0.24777	0.49112	0.999998	949	3	-0.065205	0.14155	0.35464	0.966045	709	3	-0.065205
IL15RA	8	0.082402	0.2369	0.999998	471	4	-0.0093471	0.14197	0.3554	0.966045	710	4	-0.0093471
LRG1	8	0.4013	0.65177	0.999998	1270	2	0.16416	0.14226	0.35585	0.966045	711	5	0.16416
PDGFB	8	0.37179	0.63018	0.999998	1227	2	0.095199	0.14262	0.35656	0.966045	712	5	0.095199
CRYBB3	8	0.11953	0.31259	0.999998	611	3	0.072809	0.14266	0.35661	0.966045	713	4	0.072809
CA2	8	0.18569	0.4131	0.999998	802	4	-0.099342	0.14311	0.35735	0.966045	714	3	-0.099342
DOCK4	8	0.3309	0.59008	0.999998	1156	2	0.14819	0.14334	0.35772	0.966045	715	5	0.14819
HEG1	8	0.60039	0.79627	0.999998	1579	1	0.10583	0.14342	0.35787	0.966045	716	4	0.10583
CXCL10	8	0.36319	0.62385	0.999998	1218	3	-0.11269	0.14357	0.35818	0.966045	717	2	-0.11269
VEGFA	8	0.14998	0.36571	0.999998	710	4	0.028584	0.14444	0.35993	0.966045	718	4	0.028584
MMP19	8	0.48075	0.70958	0.999998	1411	3	0.087913	0.14493	0.3608	0.966045	719	3	0.087913
FXYD6	8	0.98789	0.98784	0.999998	2068	0	0.12549	0.14497	0.36088	0.966045	720	5	0.12549
SPON1	8	0.75507	0.87276	0.999998	1777	2	0.052589	0.14628	0.36325	0.966045	721	4	0.052589
DMXL2	8	0.58265	0.78302	0.999998	1558	3	0.082625	0.14694	0.3644	0.966045	722	4	0.082625
DHDH	8	0.51298	0.73291	0.999998	1452	2	0.054562	0.14705	0.36456	0.966045	723	4	0.054562
ZBTB6	8	0.73665	0.86411	0.999998	1754	2	0.047715	0.14719	0.36482	0.966045	724	2	0.047715
FOSB	8	0.04132	0.1452	0.985286	297	3	0.033224	0.14719	0.36483	0.966045	725	3	0.033224
AKT1S1	8	0.034781	0.12777	0.985286	259	4	0.016607	0.14732	0.36511	0.966045	726	4	0.016607
MYD88	8	0.27508	0.52458	0.999998	1012	3	0.064528	0.14752	0.36549	0.966045	727	4	0.064528
PLAT	8	0.29609	0.54982	0.999998	1063	3	-0.073215	0.14764	0.36569	0.966045	728	1	-0.073215
SMTNL1	6	0.93571	0.93668	0.999998	1994	1	0.12055	0.14773	0.3353	0.963699	729	4	0.12055
GCH1	8	0.48688	0.7142	0.999998	1419	2	0.12571	0.14788	0.36616	0.966045	730	5	0.12571
TMEM52B	8	0.35108	0.6135	0.999998	1193	3	0.13602	0.14803	0.36641	0.966045	731	4	0.13602
ARG1	8	0.081231	0.23432	0.999998	463	4	-0.11582	0.14809	0.36652	0.966045	732	1	-0.11582
CHRM5	8	0.92938	0.94951	0.999998	1988	1	0.068942	0.14834	0.36696	0.966045	733	4	0.068942
TMEM187	8	0.74501	0.86809	0.999998	1765	2	0.09824	0.1488	0.36777	0.966045	734	5	0.09824
SMIM15	8	0.0059577	0.030124	0.948928	61	3	-0.0088812	0.14944	0.36891	0.966045	735	3	-0.0088812
NonTargetingControlGuideForHuman_0030	1	0.84973	0.85	0.999998	1904	0	0.177	0.15027	0.15094	0.938657	736	1	0.177
SLC25A28	8	0.87433	0.93374	0.999998	1935	1	0.081039	0.1508	0.37069	0.966045	737	4	0.081039
NUP43	8	0.50006	0.72358	0.999998	1441	1	0.10408	0.15113	0.37116	0.966045	738	3	0.10408
OR5K2	8	0.1783	0.40354	0.999998	783	4	-0.065987	0.1517	0.37186	0.966045	739	2	-0.065987
NCF1	8	0.17253	0.39591	0.999998	773	4	-0.017092	0.152	0.3723	0.966045	740	4	-0.017092
IFITM10	8	0.35817	0.62008	0.999998	1210	2	0.088126	0.15203	0.37235	0.966045	741	4	0.088126
PRDM11	8	0.059246	0.18591	0.998784	379	4	-0.075093	0.15215	0.37251	0.966045	742	3	-0.075093
TLR7	8	0.35393	0.61662	0.999998	1200	1	-0.014189	0.15237	0.37276	0.966045	743	2	-0.014189
ICAM1	8	0.99847	0.99841	0.999998	2099	0	0.10945	0.1524	0.37281	0.966045	744	4	0.10945
TRMT5	8	0.54282	0.75403	0.999998	1499	2	0.083792	0.15356	0.37426	0.966045	745	4	0.083792
PRKD2	8	0.2391	0.48019	0.999998	928	3	0.085782	0.1537	0.37447	0.966045	746	4	0.085782
KLF10	8	0.97624	0.97621	0.999998	2049	1	0.13589	0.15388	0.3747	0.966045	747	4	0.13589
BRCA2	8	0.014027	0.059357	0.974597	115	6	-0.36296	0.15394	0.37477	0.966045	748	2	-0.36296
TINAGL1	8	0.12497	0.32328	0.999998	632	4	0.014377	0.15409	0.37499	0.966045	749	4	0.014377
ZEB2	8	0.65375	0.82933	0.999998	1656	2	0.1091	0.15434	0.37537	0.966045	750	4	0.1091
RNASE4	8	0.3265	0.58494	0.999998	1138	2	0.085121	0.15472	0.37584	0.966045	751	4	0.085121
ARL5B	8	0.99238	0.99241	0.999998	2079	0	0.034277	0.15484	0.37604	0.966045	752	3	0.034277
TAP2	8	0.082317	0.23673	0.999998	470	3	0.13919	0.15514	0.37637	0.966045	753	4	0.13919
ZFHX2	8	0.015068	0.062903	0.974597	128	3	-0.0021304	0.1557	0.3771	0.966045	754	3	-0.0021304
CFH	8	0.47043	0.70204	0.999998	1393	3	-0.027843	0.15615	0.37771	0.966045	755	3	-0.027843
MMACHC	8	0.14447	0.35845	0.999998	700	2	0.030966	0.15641	0.3781	0.966045	756	3	0.030966
FCGR3B	8	0.75743	0.87374	0.999998	1781	2	0.15161	0.15684	0.37861	0.966045	757	4	0.15161
NonTargetingControlGuideForHuman_0195	1	0.84278	0.84306	0.999998	1893	0	0.20485	0.15722	0.15751	0.938657	758	1	0.20485
ZNF384	8	0.41117	0.65877	0.999998	1286	3	0.14199	0.15801	0.38005	0.966045	759	4	0.14199
BHLHE40	8	0.51196	0.73214	0.999998	1451	3	-0.018071	0.15886	0.38119	0.966045	760	3	-0.018071
IL1RN	8	0.024114	0.093504	0.985286	184	5	-0.32719	0.15904	0.38141	0.966045	761	2	-0.32719
CX3CL1	8	0.056341	0.17949	0.992426	369	4	0.010152	0.15908	0.38147	0.966045	762	4	0.010152
CTXN1	8	0.98418	0.98401	0.999998	2061	0	0.067478	0.15953	0.3821	0.966045	763	3	0.067478
CACNA1G	8	0.11287	0.29967	0.999998	589	3	0.05535	0.15962	0.38219	0.966045	764	4	0.05535
KCNE2	8	0.23881	0.47985	0.999998	927	4	-0.14366	0.15976	0.38231	0.966045	765	3	-0.14366
ATL1	8	0.068362	0.20562	0.999998	408	2	0.090714	0.16005	0.38277	0.966045	766	4	0.090714
PEAK1	8	0.18717	0.415	0.999998	805	4	-0.11258	0.1602	0.383	0.966045	767	2	-0.11258
ELAVL4	8	0.081353	0.23455	0.999998	465	2	-0.0231	0.16065	0.38351	0.966045	768	2	-0.0231
NonTargetingControlGuideForHuman_0102	1	0.83908	0.83919	0.999998	1887	0	0.17972	0.16092	0.16124	0.938657	769	1	0.17972
GOSR1	8	0.13201	0.33668	0.999998	662	5	-0.12485	0.16199	0.38524	0.966045	770	2	-0.12485
IRGM	8	0.19968	0.43137	0.999998	838	4	0.034426	0.16253	0.38593	0.966045	771	4	0.034426
AZI2	8	0.7708	0.8798	0.999998	1797	2	0.054026	0.16285	0.38637	0.966045	772	4	0.054026
LMTK3	8	0.96869	0.96992	0.999998	2034	1	-0.015282	0.16288	0.38639	0.966045	773	1	-0.015282
