sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
brunello_TMEM186_3	TMEM186	4212.5	5280.2	4212.5	5280.2	0.32584	5.6998e+05	1.8226e+05	2.5009	0.99381	0.0061933	0.012387	0.04797	True
brunello_IL23A_2	IL23A	1451.2	864.15	1451.2	864.15	-0.74723	1.7232e+05	55104	2.5009	0.0061946	0.99381	0.012389	0.04797	False
HGLibA_54804	SPATA5	2406.2	3185.8	2406.2	3185.8	0.40476	3.0389e+05	97198	2.5006	0.9938	0.0061987	0.012397	0.04799	True
HGLibA_22523	HIST2H2AA3	2154.6	1422	2154.6	1422	-0.59917	2.6837e+05	85866	2.5002	0.006207	0.99379	0.012414	0.048035	False
brunello_PAX8_2	PAX8	3677.8	2688.8	3677.8	2688.8	-0.45175	4.8909e+05	1.565e+05	2.5001	0.0062078	0.99379	0.012416	0.048035	False
FHCRC_O_E_P_94	NPIP8	2095.4	2816.6	2095.4	2816.6	0.42654	2.6005e+05	83223	2.4999	0.99379	0.0062116	0.012423	0.048053	True
HGLibB_46144	SOS1	4675.2	3543.8	4675.2	3543.8	-0.39963	6.4004e+05	2.0488e+05	2.4996	0.0062168	0.99378	0.012434	0.048077	False
brunello_KITLG_2	KITLG	2494	1698.9	2494	1698.9	-0.55359	3.1609e+05	1.0119e+05	2.4995	0.0062181	0.99378	0.012436	0.048077	False
HGLibA_31474	IL6ST	5742.7	4472.9	5742.7	4472.9	-0.36045	8.0618e+05	2.5809e+05	2.4994	0.0062194	0.99378	0.012439	0.048077	False
HGLibA_54339	SNX18	2673.5	3500.2	2673.5	3500.2	0.38857	3.417e+05	1.094e+05	2.4993	0.99378	0.0062212	0.012442	0.048079	True
HGLibB_30795	MYO1G	8103.5	6563.3	8103.5	6563.3	-0.30408	1.1861e+06	3.7993e+05	2.4988	0.0062315	0.99377	0.012463	0.048147	False
brunello_BCAS4_2	BCAS4	3814	4822.8	3814	4822.8	0.3385	5.0886e+05	1.6301e+05	2.4986	0.99377	0.0062337	0.012467	0.048151	True
brunello_MITF_4	MITF	2069.8	1354	2069.8	1354	-0.61184	2.5614e+05	82081	2.4982	0.006241	0.99376	0.012482	0.048195	False
HGLibA_11422	CSRNP1	5387.5	6612	5387.5	6612	0.29541	7.4963e+05	2.4024e+05	2.4981	0.99376	0.0062425	0.012485	0.048195	True
HGLibB_00872	ADARB2	2844.2	1989	2844.2	1989	-0.51579	3.6572e+05	1.1727e+05	2.4974	0.0062546	0.99375	0.012509	0.048277	False
brunello_ATP10A_2	ATP10A	5152.7	6346.2	5152.7	6346.2	0.30051	7.1222e+05	2.2852e+05	2.4967	0.99373	0.0062679	0.012536	0.048367	True
brunello_CRY1_1	CRY1	4976.1	6146.4	4976.1	6146.4	0.30467	6.8478e+05	2.1974e+05	2.4965	0.99373	0.0062709	0.012542	0.048379	True
brunello_C3_2	C3	2339.1	1573.1	2339.1	1573.1	-0.57203	2.9336e+05	94161	2.4962	0.0062764	0.99372	0.012553	0.048406	False
HGLibA_38150	MRM1	6644.4	5268.1	6644.4	5268.1	-0.3348	9.4711e+05	3.0401e+05	2.4961	0.0062777	0.99372	0.012555	0.048406	False
brunello_ARMC9_2	ARMC9	2950.8	2078.2	2950.8	2078.2	-0.50553	3.8066e+05	1.2221e+05	2.4959	0.0062822	0.99372	0.012564	0.048429	False
HGLibA_45110	PKIB	2992.2	3871.4	2992.2	3871.4	0.37156	3.8653e+05	1.2414e+05	2.4955	0.99371	0.0062897	0.012579	0.048475	True
HGLibA_22107	HEG1	574.17	226.18	574.17	226.18	-1.3401	60548	19468	2.4951	0.0062959	0.9937	0.012592	0.04851	False
HGLibA_40711	NPC2	6910.7	5504.4	6910.7	5504.4	-0.32821	9.8891e+05	3.1773e+05	2.495	0.0062986	0.9937	0.012597	0.048519	False
brunello_SKIL_1	SKIL	2073.7	2789.2	2073.7	2789.2	0.42746	2.5597e+05	82256	2.4947	0.9937	0.0063026	0.012605	0.048538	True
HGLibB_09636	CHST7	5887.7	7172.8	5887.7	7172.8	0.2848	8.258e+05	2.6542e+05	2.4945	0.99369	0.0063066	0.012613	0.048556	True
brunello_KIR2DL4_2	KIR2DL4	3628.5	4607.8	3628.5	4607.8	0.34461	4.7949e+05	1.5414e+05	2.4943	0.99369	0.0063109	0.012622	0.048577	True
brunello_LAMP5_2	LAMP5	4659.4	3532.7	4659.4	3532.7	-0.3993	6.3482e+05	2.041e+05	2.4941	0.0063138	0.99369	0.012628	0.048579	False
HGLibA_15887	ELAVL4	1425.6	2005.2	1425.6	2005.2	0.49192	1.6799e+05	54012	2.4941	0.99369	0.0063143	0.012629	0.048579	True
brunello_ZBTB21_2	ZBTB21	6730.2	5345.1	6730.2	5345.1	-0.33236	9.5919e+05	3.0843e+05	2.494	0.0063163	0.99368	0.012633	0.048582	False
HGLibB_21439	HIST1H3E	2061.9	1349	2061.9	1349	-0.61174	2.5412e+05	81729	2.4937	0.0063207	0.99368	0.012641	0.048586	False
brunello_PGAP1_2	PGAP1	2415.1	1636	2415.1	1636	-0.5616	3.0347e+05	97600	2.4937	0.006321	0.99368	0.012642	0.048586	False
brunello_ZBED1_1	ZBED1	2682.4	1856.1	2682.4	1856.1	-0.53102	3.414e+05	1.0981e+05	2.4936	0.0063225	0.99368	0.012645	0.048586	False
HGLibA_04580	BLZF1	4124.7	5176.8	4124.7	5176.8	0.32768	5.5339e+05	1.78e+05	2.4936	0.99368	0.0063231	0.012646	0.048586	True
HGLibB_54587	YEATS2	5421.1	6647.5	5421.1	6647.5	0.29418	7.5202e+05	2.4192e+05	2.4934	0.99367	0.006326	0.012652	0.048596	True
HGLibA_34668	LGALS9	5282	6490.2	5282	6490.2	0.29715	7.2998e+05	2.3496e+05	2.4927	0.99366	0.0063385	0.012677	0.04868	True
HGLibA_48286	RABAC1	4293.4	3218.2	4293.4	3218.2	-0.41575	5.7802e+05	1.8619e+05	2.4918	0.0063557	0.99364	0.012711	0.0488	False
brunello_SLC1A4_1	SLC1A4	4027.1	5064.2	4027.1	5064.2	0.33053	5.3781e+05	1.7327e+05	2.4915	0.99364	0.0063599	0.01272	0.048805	True
HGLibA_06874	CACNA1A	2283.8	1529.5	2283.8	1529.5	-0.57809	2.8452e+05	91668	2.4915	0.0063603	0.99364	0.012721	0.048805	False
brunello_HS3ST1_2	HS3ST1	5412.2	4187.9	5412.2	4187.9	-0.36991	7.4946e+05	2.4147e+05	2.4915	0.0063611	0.99364	0.012722	0.048805	False
brunello_HSPA1L_3	HSPA1L	3605.8	4580.4	3605.8	4580.4	0.34506	4.749e+05	1.5306e+05	2.4911	0.99363	0.006368	0.012736	0.048834	True
brunello_SLC25A30_3	SLC25A30	3746.9	4742.7	3746.9	4742.7	0.33993	4.9579e+05	1.598e+05	2.491	0.99363	0.0063688	0.012738	0.048834	True
brunello_FST_1	FST	1412.7	836.76	1412.7	836.76	-0.75489	1.6587e+05	53467	2.4909	0.0063711	0.99363	0.012742	0.048834	False
brunello_SLC25A19_3	SLC25A19	1408.8	833.72	1408.8	833.72	-0.75611	1.6535e+05	53299	2.4909	0.0063711	0.99363	0.012742	0.048834	False
brunello_PDCD1LG2_1	PDCD1LG2	5331.3	4117.9	5331.3	4117.9	-0.3725	7.3616e+05	2.3743e+05	2.4902	0.0063834	0.99362	0.012767	0.048916	False
brunello_PMP22_1	PMP22	1034.9	1518.3	1034.9	1518.3	0.55259	1.1687e+05	37705	2.4898	0.99361	0.0063909	0.012782	0.04895	True
HGLibA_43223	PABPC4	40.448	1.0143	40.448	1.0143	-4.363	777.52	994.31	2.4898	0.006391	0.99361	0.012782	0.04895	False
HGLibA_64508	NonTargetingControlGuideForHuman_0125	5829.5	4554	5829.5	4554	-0.35616	8.134e+05	2.6248e+05	2.4896	0.0063951	0.9936	0.01279	0.048969	False
HGLibA_23083	HRASLS5	7287.6	5842.1	7287.6	5842.1	-0.3189	1.0447e+06	3.3725e+05	2.489	0.0064046	0.9936	0.012809	0.04903	False
HGLibA_31891	IRF9	8855.2	7242.8	8855.2	7242.8	-0.28994	1.2999e+06	4.1973e+05	2.4888	0.0064093	0.99359	0.012819	0.049039	False
HGLibB_11841	CXCL13	1398.9	826.62	1398.9	826.62	-0.7583	1.6376e+05	52881	2.4887	0.0064104	0.99359	0.012821	0.049039	False
brunello_CARD6_2	CARD6	2486.1	1695.8	2486.1	1695.8	-0.55161	3.1225e+05	1.0083e+05	2.4887	0.0064106	0.99359	0.012821	0.049039	False
HGLibB_56318	ZNF613	4277.7	3206.1	4277.7	3206.1	-0.4159	5.7414e+05	1.8542e+05	2.4885	0.0064138	0.99359	0.012828	0.049048	False
brunello_BCL3_3	BCL3	4925.8	3765.9	4925.8	3765.9	-0.38726	6.7265e+05	2.1725e+05	2.4885	0.006415	0.99359	0.01283	0.049048	False
brunello_FOSL1_1	FOSL1	1314.1	761.71	1314.1	761.71	-0.78594	1.5255e+05	49295	2.4879	0.0064256	0.99357	0.012851	0.049117	False
brunello_ENPP1_2	ENPP1	2138.8	1412.9	2138.8	1412.9	-0.59785	2.6351e+05	85161	2.4877	0.0064289	0.99357	0.012858	0.04913	False
brunello_FOS_2	FOS	2637	1820.6	2637	1820.6	-0.53426	3.3328e+05	1.0773e+05	2.4875	0.0064322	0.99357	0.012864	0.049136	False
brunello_HSPA1L_1	HSPA1L	2143.8	1416.9	2143.8	1416.9	-0.59704	2.6415e+05	85381	2.4875	0.0064328	0.99357	0.012866	0.049136	False
HGLibB_48765	TCN2	3577.2	4545.9	3577.2	4545.9	0.34565	4.6919e+05	1.517e+05	2.4871	0.99356	0.0064386	0.012877	0.049161	True
brunello_ITIH4_3	ITIH4	5945.9	4657.5	5945.9	4657.5	-0.35228	8.3001e+05	2.6837e+05	2.4871	0.0064397	0.99356	0.012879	0.049161	False
brunello_YEATS2_4	YEATS2	2440.7	3222.3	2440.7	3222.3	0.40065	3.0544e+05	98765	2.487	0.99356	0.0064409	0.012882	0.049161	True
brunello_SRGAP2_2	SRGAP2	4234.2	3169.6	4234.2	3169.6	-0.41771	5.6678e+05	1.8331e+05	2.4867	0.0064466	0.99355	0.012893	0.049192	False
brunello_ETV6_3	ETV6	3658.1	2677.6	3658.1	2677.6	-0.44999	4.8065e+05	1.5555e+05	2.4859	0.0064607	0.99354	0.012921	0.049287	False
HGLibB_25198	KLK10	2520.6	1725.3	2520.6	1725.3	-0.5467	3.163e+05	1.024e+05	2.4855	0.0064686	0.99353	0.012937	0.049329	False
HGLibB_57078	NonTargetingControlGuideForHuman_0050	9439.2	7770.2	9439.2	7770.2	-0.28068	1.3928e+06	4.5094e+05	2.4854	0.00647	0.99353	0.01294	0.049329	False
brunello_MARCH4_3	42798	3615.7	4589.5	3615.7	4589.5	0.34399	4.7418e+05	1.5353e+05	2.4854	0.99353	0.0064709	0.012942	0.049329	True
HGLibA_49941	RNF24	4340.8	3261.9	4340.8	3261.9	-0.41215	5.8205e+05	1.885e+05	2.4851	0.0064762	0.99352	0.012952	0.049357	False
brunello_LGALS9B_1	LGALS9B	1809.3	1149.2	1809.3	1149.2	-0.65442	2.1791e+05	70581	2.4849	0.0064793	0.99352	0.012959	0.049368	False
HGLibA_22526	HIST2H2AA4	1749.1	1101.5	1749.1	1101.5	-0.66671	2.0973e+05	67951	2.4845	0.006486	0.99351	0.012972	0.049407	False
HGLibA_32704	KCTD11	4073.4	3032.6	4073.4	3032.6	-0.42555	5.4164e+05	1.7552e+05	2.4843	0.0064896	0.99351	0.012979	0.049421	False
brunello_TMEM106A_3	TMEM106A	1203.6	678.54	1203.6	678.54	-0.8259	1.3784e+05	44668	2.4843	0.006491	0.99351	0.012982	0.049421	False
HGLibA_40244	NIPAL1	2361.8	1595.4	2361.8	1595.4	-0.56564	2.9365e+05	95187	2.4839	0.0064969	0.9935	0.012994	0.049448	False
brunello_CD3EAP_3	CD3EAP	3770.6	4767	3770.6	4767	0.33822	4.9645e+05	1.6093e+05	2.4839	0.9935	0.0064978	0.012996	0.049448	True
brunello_RBM11_4	RBM11	2273	3022.5	2273	3022.5	0.41099	2.8087e+05	91180	2.4821	0.99347	0.0065304	0.013061	0.049684	True
HGLibA_48647	RASL10A	3686.7	2704	3686.7	2704	-0.44709	4.8285e+05	1.5692e+05	2.4807	0.0065556	0.99344	0.013111	0.049852	False
HGLibA_13028	DFNB31	3778.5	2782.1	3778.5	2782.1	-0.44148	4.9636e+05	1.6131e+05	2.4807	0.0065557	0.99344	0.013111	0.049852	False
HGLibA_31894	IRG1	1535.1	934.13	1535.1	934.13	-0.71599	1.8056e+05	58690	2.4805	0.0065596	0.99344	0.013119	0.049869	False
brunello_SERPINF1_2	SERPINF1	7230.4	5796.5	7230.4	5796.5	-0.31884	1.028e+06	3.3428e+05	2.48	0.0065683	0.99343	0.013137	0.049923	False
brunello_ANO5_3	ANO5	3619.6	4591.6	3619.6	4591.6	0.34306	4.7232e+05	1.5372e+05	2.479	0.99341	0.0065884	0.013177	0.050063	True
brunello_HLA-F_2	HLA-F	6200.4	4885.7	6200.4	4885.7	-0.34374	8.6427e+05	2.813e+05	2.4789	0.00659	0.99341	0.01318	0.050063	False
HGLibA_20073	GIMAP1-GIMAP5	3946.2	2926.1	3946.2	2926.1	-0.43133	5.2024e+05	1.6937e+05	2.4785	0.0065961	0.9934	0.013192	0.050085	False
HGLibA_62620	WLS	2611.4	1802.3	2611.4	1802.3	-0.5347	3.2727e+05	1.0655e+05	2.4785	0.0065961	0.9934	0.013192	0.050085	False
brunello_GPR171_3	GPR171	5030.4	6199.2	5030.4	6199.2	0.30135	6.8301e+05	2.2243e+05	2.4781	0.9934	0.0066033	0.013207	0.050119	True
HGLibB_31945	NKAIN1	3877.1	2867.3	3877.1	2867.3	-0.43515	5.0985e+05	1.6605e+05	2.4781	0.0066039	0.9934	0.013208	0.050119	False
HGLibA_09767	CKB	884.93	1325.6	884.93	1325.6	0.58251	97111	31631	2.478	0.99339	0.0066069	0.013214	0.05013	True
HGLibA_03936	AZI2	5396.4	6612	5396.4	6612	0.29303	7.388e+05	2.4068e+05	2.4777	0.99339	0.0066112	0.013222	0.05015	True
HGLibA_03544	ATP10A	3139.2	4035.7	3139.2	4035.7	0.36234	4.0191e+05	1.3101e+05	2.477	0.99338	0.0066242	0.013248	0.050237	True
brunello_IFIH1_1	IFIH1	2502.9	3292.3	2502.9	3292.3	0.39537	3.116e+05	1.0159e+05	2.4767	0.99337	0.0066295	0.013259	0.050264	True
brunello_CORIN_3	CORIN	3513.1	4467.8	3513.1	4467.8	0.34674	4.5575e+05	1.4865e+05	2.4763	0.99336	0.0066379	0.013276	0.050296	True
brunello_B4GALT5_1	B4GALT5	4315.1	3243.6	4315.1	3243.6	-0.4117	5.741e+05	1.8725e+05	2.4763	0.0066381	0.99336	0.013276	0.050296	False
brunello_FAM134B_3	FAM134B	3910.7	2896.7	3910.7	2896.7	-0.43286	5.1403e+05	1.6766e+05	2.4762	0.0066386	0.99336	0.013277	0.050296	False
brunello_GART_4	GART	3157.9	2258.8	3157.9	2258.8	-0.48327	4.0425e+05	1.3189e+05	2.476	0.006644	0.99336	0.013288	0.050324	False
brunello_SLC35F5_3	SLC35F5	1716.6	1078.2	1716.6	1078.2	-0.67048	2.038e+05	66533	2.4751	0.00666	0.99334	0.01332	0.050433	False
brunello_SLC1A3_2	SLC1A3	1455.2	873.28	1455.2	873.28	-0.736	1.6929e+05	55272	2.475	0.0066616	0.99334	0.013323	0.050433	False
HGLibA_59879	TRIM68	2795.9	1956.5	2795.9	1956.5	-0.51479	3.5226e+05	1.1504e+05	2.4748	0.0066664	0.99333	0.013333	0.050449	False
brunello_CCL22_2	CCL22	5731.8	4475.9	5731.8	4475.9	-0.35674	7.8863e+05	2.5754e+05	2.4747	0.006667	0.99333	0.013334	0.050449	False
brunello_ZNF547_3	ZNF547	3280.3	2362.2	3280.3	2362.2	-0.4735	4.2141e+05	1.3763e+05	2.4746	0.0066696	0.99333	0.013339	0.050457	False
HGLibB_04557	BLOC1S2	3292.1	2372.4	3292.1	2372.4	-0.47252	4.2296e+05	1.3819e+05	2.4741	0.0066778	0.99332	0.013356	0.050498	False
brunello_TMEM244_3	TMEM244	4881.4	6028.8	4881.4	6028.8	0.3045	6.5819e+05	2.1505e+05	2.4741	0.99332	0.0066783	0.013357	0.050498	True
HGLibA_19738	GBP4	3469.7	2522.5	3469.7	2522.5	-0.45981	4.486e+05	1.4659e+05	2.474	0.0066807	0.99332	0.013361	0.050503	False
brunello_ATP7A_3	ATP7A	1791.6	1138	1791.6	1138	-0.65426	2.1357e+05	69804	2.4737	0.0066858	0.99331	0.013372	0.05053	False
brunello_KLK10_3	KLK10	2891.6	2036.6	2891.6	2036.6	-0.50545	3.6545e+05	1.1946e+05	2.4735	0.00669	0.99331	0.01338	0.050545	False
brunello_DTX3L_4	DTX3L	1893.2	1219.1	1893.2	1219.1	-0.63453	2.2716e+05	74262	2.4734	0.0066912	0.99331	0.013382	0.050545	False
brunello_MNDA_3	MNDA	2209.9	1474.7	2209.9	1474.7	-0.58317	2.702e+05	88342	2.4733	0.0066934	0.99331	0.013387	0.05055	False
HGLibA_60562	TUBB1	7565.8	9032	7565.8	9032	0.25552	1.0748e+06	3.5174e+05	2.4721	0.99328	0.0067154	0.013431	0.050703	True
brunello_G6PC_3	G6PC	2544.3	3338.9	2544.3	3338.9	0.39199	3.1573e+05	1.0348e+05	2.4702	0.99325	0.0067509	0.013502	0.050959	True
brunello_TNS1_4	TNS1	1657.4	2282.1	1657.4	2282.1	0.4612	1.9512e+05	63964	2.47	0.99324	0.0067557	0.013511	0.050982	True
HGLibB_50670	TNFRSF10A	4552.9	3451.5	4552.9	3451.5	-0.39945	6.0651e+05	1.9887e+05	2.4697	0.0067608	0.99324	0.013522	0.050996	False
HGLibB_47063	SSBP3	1160.2	1671.5	1160.2	1671.5	0.52642	1.3073e+05	42864	2.4697	0.99324	0.0067608	0.013522	0.050996	True
HGLibA_58249	TMEM140	8007.8	9519.8	8007.8	9519.8	0.24951	1.1432e+06	3.749e+05	2.4695	0.99324	0.0067646	0.013529	0.051002	True
brunello_GNRH1_1	GNRH1	3944.2	2928.2	3944.2	2928.2	-0.42961	5.1616e+05	1.6928e+05	2.4695	0.0067649	0.99324	0.01353	0.051002	False
brunello_KIAA1217_4	KIAA1217	3701.5	2721.3	3701.5	2721.3	-0.4437	4.8045e+05	1.5763e+05	2.469	0.0067744	0.99323	0.013549	0.051062	False
HGLibB_51394	TRIM31	6971.9	5573.4	6971.9	5573.4	-0.32295	9.7797e+05	3.2089e+05	2.4689	0.006777	0.99322	0.013554	0.051069	False
brunello_AKT1S1_1	AKT1S1	3142.1	4035.7	3142.1	4035.7	0.36098	3.9926e+05	1.3115e+05	2.4675	0.9932	0.0068023	0.013605	0.051247	True
HGLibB_14161	DUSP5	4898.2	3751.7	4898.2	3751.7	-0.3846	6.5717e+05	2.1588e+05	2.4674	0.0068043	0.9932	0.013609	0.051249	False
HGLibA_53299	SLC35F5	4195.8	5246.8	4195.8	5246.8	0.32242	5.5229e+05	1.8144e+05	2.4673	0.99319	0.0068061	0.013612	0.05125	True
brunello_DZIP1L_3	DZIP1L	4739.4	5864.4	4739.4	5864.4	0.30725	6.3291e+05	2.0804e+05	2.4667	0.99318	0.0068182	0.013636	0.051329	True
brunello_SAMD9L_1	SAMD9L	1955.3	1270.9	1955.3	1270.9	-0.6212	2.3424e+05	77004	2.4666	0.0068208	0.99318	0.013642	0.051336	False
brunello_LHFPL1_1	LHFPL1	6871.3	8257.1	6871.3	8257.1	0.26502	9.6023e+05	3.157e+05	2.4664	0.99318	0.0068234	0.013647	0.051341	True
HGLibA_30910	IFIT1	5956.7	4677.8	5956.7	4677.8	-0.34864	8.179e+05	2.6892e+05	2.4664	0.0068249	0.99318	0.01365	0.051341	False
HGLibA_47408	PSMB8	5985.4	7267.2	5985.4	7267.2	0.27991	8.2151e+05	2.7037e+05	2.4651	0.99315	0.0068478	0.013696	0.051501	True
HGLibA_31448	IL3RA	4944.6	3793.3	4944.6	3793.3	-0.38229	6.6266e+05	2.1818e+05	2.4647	0.0068573	0.99314	0.013715	0.05156	False
brunello_PLEKHG7_2	PLEKHG7	1123.7	1624.8	1123.7	1624.8	0.53168	1.2559e+05	41354	2.4645	0.99314	0.0068603	0.013721	0.05157	True
HGLibB_32751	NSUN7	3959	4974.9	3959	4974.9	0.32947	5.1607e+05	1.6999e+05	2.4641	0.99313	0.0068679	0.013736	0.051615	True
brunello_CFB_1	CFB	3046.4	2169.5	3046.4	2169.5	-0.48957	3.8452e+05	1.2667e+05	2.464	0.0068705	0.99313	0.013741	0.051621	False
HGLibA_54860	SPDYA	10211	11939	10211	11939	0.22556	1.4932e+06	4.9253e+05	2.4624	0.9931	0.0069008	0.013802	0.051837	True
HGLibA_59121	TNIK	5830.5	4569.2	5830.5	4569.2	-0.35159	7.9536e+05	2.6253e+05	2.4616	0.0069169	0.99308	0.013834	0.051945	False
HGLibA_19497	GAL3ST1	6714.4	8079.6	6714.4	8079.6	0.26698	9.3185e+05	3.0762e+05	2.4614	0.99308	0.0069197	0.013839	0.051953	True
brunello_DENND1B_3	DENND1B	1604.1	992.96	1604.1	992.96	-0.69142	1.8676e+05	61661	2.4612	0.0069233	0.99308	0.013847	0.051968	False
HGLibA_61984	VMP1	4221.4	3169.6	4221.4	3169.6	-0.41333	5.532e+05	1.8269e+05	2.4609	0.0069287	0.99307	0.013857	0.051995	False
brunello_C6orf222_3	C6orf222	6654.2	5296.5	6654.2	5296.5	-0.32919	9.2178e+05	3.0452e+05	2.4605	0.0069377	0.99306	0.013875	0.05205	False
brunello_RGL1_1	RGL1	3248.7	4156.4	3248.7	4156.4	0.35539	4.12e+05	1.3615e+05	2.4601	0.99306	0.0069444	0.013889	0.052086	True
brunello_CACNA1G_3	CACNA1G	4894.2	3751.7	4894.2	3751.7	-0.38343	6.5265e+05	2.1569e+05	2.4601	0.0069459	0.99305	0.013892	0.052086	False
brunello_AK4_2	AK4	2120.1	1405.8	2120.1	1405.8	-0.59242	2.5513e+05	84323	2.4599	0.0069487	0.99305	0.013897	0.052095	False
brunello_DRAM1_2	DRAM1	2698.2	1880.4	2698.2	1880.4	-0.5207	3.3437e+05	1.1053e+05	2.4597	0.0069531	0.99305	0.013906	0.052115	False
brunello_RNF222_4	RNF222	4271.7	5329.9	4271.7	5329.9	0.31923	5.5989e+05	1.8514e+05	2.4594	0.99304	0.0069593	0.013919	0.052149	True
HGLibA_07007	CALCRL	6788.4	8160.7	6788.4	8160.7	0.26559	9.4163e+05	3.1142e+05	2.4591	0.99304	0.0069639	0.013928	0.052171	True
brunello_MLKL_2	MLKL	2993.2	2126.9	2993.2	2126.9	-0.49273	3.7521e+05	1.2419e+05	2.4582	0.0069819	0.99302	0.013964	0.052293	False
brunello_IL6_1	IL6	2872.8	3719.3	2872.8	3719.3	0.37245	3.5826e+05	1.186e+05	2.458	0.99301	0.0069859	0.013972	0.05231	True
brunello_GLI3_1	GLI3	3265.5	4174.7	3265.5	4174.7	0.35429	4.1335e+05	1.3694e+05	2.457	0.993	0.0070043	0.014009	0.052435	True
brunello_MAOA_3	MAOA	4659.4	3549.9	4659.4	3549.9	-0.39228	6.1554e+05	2.041e+05	2.4559	0.0070259	0.99297	0.014052	0.052584	False
brunello_PLEKHN1_4	PLEKHN1	3806.1	4796.4	3806.1	4796.4	0.33358	4.9039e+05	1.6264e+05	2.4557	0.99297	0.0070301	0.01406	0.052603	True
brunello_MICB_4	MICB	5498	6715.4	5498	6715.4	0.28852	7.4103e+05	2.4578e+05	2.4556	0.99297	0.007032	0.014064	0.052604	True
brunello_UGT1A8_4	UGT1A8	2404.2	1639	2404.2	1639	-0.55243	2.9274e+05	97108	2.4554	0.0070359	0.99296	0.014072	0.052614	False
brunello_C1orf61_2	C1orf61	2143.8	2861.2	2143.8	2861.2	0.41632	2.5738e+05	85381	2.4554	0.99296	0.0070366	0.014073	0.052614	True
HGLibB_42897	SCLT1	3055.3	3930.3	3055.3	3930.3	0.36319	3.8275e+05	1.2709e+05	2.4543	0.99294	0.0070583	0.014117	0.052762	True
HGLibB_53358	UST	2743.6	3567.1	2743.6	3567.1	0.37859	3.3914e+05	1.1262e+05	2.4541	0.99294	0.0070624	0.014125	0.05278	True
brunello_SUCNR1_2	SUCNR1	1193.7	677.52	1193.7	677.52	-0.8162	1.3323e+05	44257	2.4537	0.0070699	0.99293	0.01414	0.052823	False
HGLibA_17412	FAM200A	2375.6	3135.1	2375.6	3135.1	0.40006	2.884e+05	95812	2.4536	0.99293	0.0070716	0.014143	0.052823	True
HGLibA_65114	ZNF829	2801.8	1968.7	2801.8	1968.7	-0.5089	3.4703e+05	1.1531e+05	2.4534	0.0070755	0.99292	0.014151	0.05284	False
brunello_ZKSCAN4_3	ZKSCAN4	2845.2	2005.2	2845.2	2005.2	-0.50457	3.528e+05	1.1732e+05	2.4525	0.0070942	0.99291	0.014188	0.052955	False
HGLibB_41932	RPL41	37.489	0	37.489	0	-5.2664	702.7	913.16	2.4525	0.0070943	0.99291	0.014189	0.052955	False
HGLibA_49608	RIPK2	3985.6	2970.8	3985.6	2970.8	-0.42385	5.1498e+05	1.7127e+05	2.4523	0.0070982	0.9929	0.014196	0.052963	False
brunello_BLNK_1	BLNK	4219.4	3171.6	4219.4	3171.6	-0.41174	5.49e+05	1.8259e+05	2.4522	0.0070989	0.9929	0.014198	0.052963	False
HGLibB_06201	C3AR1	3666	4634.1	3666	4634.1	0.33802	4.6866e+05	1.5593e+05	2.4518	0.99289	0.0071079	0.014216	0.053018	True
brunello_POP1_1	POP1	886.9	450.33	886.9	450.33	-0.97622	95297	31710	2.4517	0.0071101	0.99289	0.01422	0.053021	False
HGLibA_57553	TGM5	4576.6	5672.8	4576.6	5672.8	0.30972	6.008e+05	2.0003e+05	2.4509	0.99288	0.0071245	0.014249	0.053116	True
brunello_BATF3_2	BATF3	2587.7	3383.6	2587.7	3383.6	0.38674	3.167e+05	1.0547e+05	2.4507	0.99287	0.0071297	0.014259	0.053142	True
HGLibA_34650	LGALS3	7692.1	9158.8	7692.1	9158.8	0.25175	1.0756e+06	3.5834e+05	2.4501	0.99286	0.0071405	0.014281	0.0532	True
HGLibB_56516	ZNF704	1688	1061.9	1688	1061.9	-0.6681	1.9597e+05	65290	2.4501	0.0071409	0.99286	0.014282	0.0532	False
brunello_ZFYVE26_4	ZFYVE26	3504.2	2561	3504.2	2561	-0.45223	4.4481e+05	1.4823e+05	2.4499	0.0071457	0.99285	0.014291	0.053222	False
HGLibB_54625	YJEFN3	3030.7	2161.4	3030.7	2161.4	-0.48748	3.7782e+05	1.2593e+05	2.4495	0.0071518	0.99285	0.014304	0.053255	False
HGLibB_50336	TMEM41B	2882.7	2037.6	2882.7	2037.6	-0.5003	3.5704e+05	1.1905e+05	2.4491	0.0071609	0.99284	0.014322	0.05331	False
HGLibA_59017	TNFAIP8L3	4157.3	5195	4157.3	5195	0.32142	5.3845e+05	1.7958e+05	2.4489	0.99283	0.0071655	0.014331	0.053328	True
brunello_C10orf10_3	C10orf10	2747.5	1925.1	2747.5	1925.1	-0.513	3.3822e+05	1.128e+05	2.4488	0.0071669	0.99283	0.014334	0.053328	False
HGLibA_20788	GPD2	7339.9	5912.1	7339.9	5912.1	-0.31204	1.0193e+06	3.3997e+05	2.4487	0.0071685	0.99283	0.014337	0.053328	False
HGLibA_30911	IFIT1	2774.2	1947.4	2774.2	1947.4	-0.5103	3.4178e+05	1.1403e+05	2.4484	0.0071753	0.99282	0.014351	0.053366	False
